"","site","lat","lon","elv","age","Tmin","gdd","alpha","Tmax"
"5263","Planell de Perafita",42.4792,1.5669,2240,7112,-3.78101733889202,2992.03466523855,0.906619246025432,14.3398614441527
"5264","Planell de Perafita",42.4792,1.5669,2240,7233,-5.74691898215381,2669.6168490448,0.981609092096142,13.07668525878
"5265","Planell de Perafita",42.4792,1.5669,2240,7314,-5.93928867083532,2527.83251387205,1.03747847329617,12.0331979552296
"5266","Planell de Perafita",42.4792,1.5669,2240,7435,-4.02412299689093,2730.70940235488,0.983122475605497,12.9541404102541
"5267","Planell de Perafita",42.4792,1.5669,2240,7516,-4.49811192392534,2665.77449917081,0.998019505410361,12.4044812522414
"5268","Planell de Perafita",42.4792,1.5669,2240,7639,-5.68409984958871,2495.23820015326,1.03131530667958,12.0193993463525
"5269","Planell de Perafita",42.4792,1.5669,2240,7720,-2.07648292926906,2892.1039520585,0.921703301202798,14.8937807607693
"5270","Planell de Perafita",42.4792,1.5669,2240,7841,-2.47629804411599,2934.91799617082,0.887807824295801,15.0654425991003
"5271","Planell de Perafita",42.4792,1.5669,2240,7923,-4.80558548371168,2810.98657445652,0.843784526082559,14.2890966077192
"5272","Planell de Perafita",42.4792,1.5669,2240,8043,-1.48578783480794,3084.1232272765,0.849870381825755,16.7134293940178
"5273","Planell de Perafita",42.4792,1.5669,2240,8125,-1.42085616291118,2896.79962083008,0.865773970492152,15.8767784441681
"5274","Planell de Perafita",42.4792,1.5669,2240,8247,0.97670609282854,3228.73621941435,0.82164639389862,16.350237856535
"5275","Planell de Perafita",42.4792,1.5669,2240,8328,-1.08704619064728,2727.061253984,0.885549775295046,15.2142607146651
"5276","Planell de Perafita",42.4792,1.5669,2240,8437,0.281224680471577,3047.6531615942,0.81686242845077,16.9976572580404
"5277","Planell de Perafita",42.4792,1.5669,2240,8507,-3.98072077254772,2951.7568616187,0.802570101587632,17.3209172584765
"5278","Planell de Perafita",42.4792,1.5669,2240,8686,-0.895286488680478,2978.81479704408,0.84116589843403,16.454371933423
"5279","Planell de Perafita",42.4792,1.5669,2240,8828,-3.58027219331723,2846.24398136842,0.842410594952245,16.4066664608086
"5280","Planell de Perafita",42.4792,1.5669,2240,9010,-2.02784327381902,2766.8305265807,0.825743330288503,17.3893131394873
"5281","Planell de Perafita",42.4792,1.5669,2240,9596,-5.71557913576415,2540.54285680931,0.881361974237932,14.540416611913
"5282","Planell de Perafita",42.4792,1.5669,2240,9880,-7.27690105706244,2553.38397065877,0.871974084542485,13.0810413680434
"5283","Planell de Perafita",42.4792,1.5669,2240,10244,-6.24003129925852,2846.55894610277,0.793705165441076,15.9823289487524
"5284","Serra Mitjana Fen",42.4675,1.5828,2406,412,3.65469233796029,4041.14541952266,0.686242582327299,18.1672532626092
"5285","Serra Mitjana Fen",42.4675,1.5828,2406,485,2.94564823701449,3423.62779329927,0.820112702353682,14.736773973092
"5286","Serra Mitjana Fen",42.4675,1.5828,2406,560,-0.882231994280072,3536.55929222699,0.732929753164015,15.3239506609094
"5287","Serra Mitjana Fen",42.4675,1.5828,2406,633,-2.73739768938992,3377.00088361859,0.771802545737196,15.485050852333
"5288","Serra Mitjana Fen",42.4675,1.5828,2406,707,-6.16032241333481,3157.71542620014,0.83080523261051,14.1740211311818
"5289","Serra Mitjana Fen",42.4675,1.5828,2406,779,-3.2458139520238,3177.51365772134,0.819749930738431,14.119348261467
